request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 in full on 2025-08-03; the validated 90-date forecast preserves the IDR 24768300 minimum.
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 in full on 2026-07-05; the validated 90-date forecast preserves the ZAR 20500 minimum.
request_28,281.89,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,Wait until 2024-08-15 to pay EUR 1302.4 in full while preserving the EUR 1100 minimum.
request_29,3108.72,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 51524 by 2025-11-23 while preserving the ZAR 28300 minimum.
request_30,303.16,not_affordable,not_recommended,none,,none,No eligible plan completes USD 775.2 by 2026-06-06 while preserving the USD 900 minimum.
request_31,2568593.04,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Wait until 2024-11-15 to pay IDR 18164000 in full while preserving the IDR 16588900 minimum.
request_32,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 40018 by 2025-04-15 while preserving the ZAR 35700 minimum.
request_33,32279.86,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Wait until 2026-03-15 to pay INR 118000 in full while preserving the INR 102100 minimum.
request_34,64430.21,not_affordable,not_recommended,none,,none,No eligible plan completes INR 129400 by 2025-01-28 while preserving the INR 138500 minimum.
request_35,19973.24,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Wait until 2026-01-15 to pay INR 212000 in full while preserving the INR 106400 minimum.
request_36,493.30,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Wait until 2026-09-15 to pay USD 3954 in full while preserving the USD 2400 minimum.
request_37,4880085.52,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Wait until 2024-05-15 to pay IDR 14649000 in full while preserving the IDR 17056200 minimum.
request_38,170.70,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,Wait until 2025-10-15 to pay EUR 971.3 in full while preserving the EUR 400 minimum.
request_39,35875.86,affordable_later,wait,2026-06-15:208600,2026-06-15,none,Wait until 2026-06-15 to pay INR 208600 in full while preserving the INR 213400 minimum.
request_40,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 1290.3 by 2024-08-15 while preserving the EUR 1500 minimum.
request_41,7915614.90,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,Wait until 2026-01-15 to pay IDR 38760000 in full while preserving the IDR 25366600 minimum.
request_42,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes INR 52100 by 2026-03-15 while preserving the INR 113100 minimum.
request_43,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes IDR 43339000 by 2024-11-15 while preserving the IDR 21398000 minimum.
request_44,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes INR 95800 by 2025-04-15 while preserving the INR 82900 minimum.
request_45,3614476.62,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Wait until 2026-09-15 to pay IDR 21983000 in full while preserving the IDR 11149800 minimum.
request_46,36858.40,affordable_with_plan,partial_payment,2024-12-03:36858.40|2024-12-15:12591.60,2024-12-15,none,Use two payments to complete INR 49450 by 2024-12-15 while preserving the INR 84000 minimum.
request_47,6146709.46,not_affordable,not_recommended,none,,none,No eligible plan completes IDR 38114000 by 2025-06-19 while preserving the IDR 30049000 minimum.
request_48,45700.00,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 in full on 2026-07-25; the validated 90-date forecast preserves the INR 71300 minimum.
request_49,11974188.05,not_affordable,not_recommended,none,2024-05-15,none,No eligible plan completes IDR 34333000 by 2024-05-22 while preserving the IDR 20275700 minimum.
request_50,43900.00,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 in full on 2025-08-06; the validated 90-date forecast preserves the INR 99700 minimum.
request_51,2191000.00,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 in full on 2026-01-03; the validated 90-date forecast preserves the IDR 7811000 minimum.
request_52,18701.97,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Wait until 2024-06-15 to pay INR 28870 in full while preserving the INR 41500 minimum.
request_53,477.89,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,Use 3 payments to complete USD 1699.2 by 2026-01-16 while preserving the USD 2100 minimum.
request_54,2064.79,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 121528 by 2026-08-21 while preserving the ZAR 37000 minimum.
request_55,114393.42,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,reduce_to:event_5103:2536,Use 3 payments to complete INR 218600 by 2026-08-12 while preserving the INR 124300 minimum.
request_56,508.55,affordable_with_plan,partial_payment,2025-02-03:508.55|2025-02-15:373.01,2025-02-15,none,Use two payments to complete USD 881.56 by 2025-02-15 while preserving the USD 2100 minimum.
request_57,12657.18,affordable_later,wait,2026-06-15:61446,2026-06-15,none,Wait until 2026-06-15 to pay ZAR 61446 in full while preserving the ZAR 42700 minimum.
request_58,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes IDR 16226000 by 2025-01-25 while preserving the IDR 14433900 minimum.
request_59,115099.27,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,reduce_to:event_5537:3930|stop:event_5473,Use 3 payments to complete INR 140600 by 2025-07-02 while preserving the INR 132600 minimum.
request_60,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes USD 199.89 by 2026-03-04 while preserving the USD 400 minimum.
request_61,29062.00,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use 3 payments to complete ZAR 29062 by 2024-05-18 while preserving the ZAR 36700 minimum.
request_62,340.11,affordable_with_plan,full_payment,2025-08-05:404.23,,reduce_to:event_5750:21|stop:event_5749,Use permitted spending changes to complete USD 404.23 by 2025-08-05 while preserving the USD 1300 minimum.
request_63,39906.07,not_affordable,not_recommended,none,,none,No eligible plan completes INR 343900 by 2026-09-17 while preserving the INR 153500 minimum.
request_64,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes INR 63700 by 2024-08-16 while preserving the INR 36100 minimum.
request_65,5782.77,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 54340 by 2025-11-25 while preserving the ZAR 15500 minimum.
request_66,22200.00,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 in full on 2026-04-03; the validated 90-date forecast preserves the INR 80700 minimum.
request_67,274.95,affordable_later,wait,2024-11-15:2094,2024-11-15,none,Wait until 2024-11-15 to pay USD 2094 in full while preserving the USD 1200 minimum.
request_68,1361.56,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,Use 3 payments to complete USD 2091.6 by 2025-04-11 while preserving the USD 1500 minimum.
request_69,517.79,affordable_with_plan,full_payment,2026-01-04:529.1,2026-02-15,stop:event_6405,Use permitted spending changes to complete EUR 529.1 by 2026-01-04 while preserving the EUR 700 minimum.
request_70,49475.42,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Wait until 2025-02-15 to pay INR 243900 in full while preserving the INR 115000 minimum.
request_71,77785.41,not_affordable,not_recommended,none,,none,No eligible plan completes IDR 21451000 by 2025-05-28 while preserving the IDR 8884800 minimum.
request_72,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 11330 by 2026-07-14 while preserving the ZAR 12200 minimum.
request_73,63336.41,not_affordable,not_recommended,none,2023-02-15,none,No eligible plan completes INR 71400 by 2023-02-13 while preserving the INR 103200 minimum.
request_74,5010.00,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 in full on 2025-08-04; the validated 90-date forecast preserves the ZAR 21900 minimum.
request_75,10416.40,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 28270 by 2026-06-12 while preserving the ZAR 39000 minimum.
request_76,116.36,not_affordable,not_recommended,none,,none,No eligible plan completes USD 4455.6 by 2024-07-30 while preserving the USD 1800 minimum.
request_77,57385.30,not_affordable,not_recommended,none,2025-11-15,none,No eligible plan completes INR 60700 by 2025-11-14 while preserving the INR 82200 minimum.
request_78,43222.23,not_affordable,not_recommended,none,2025-10-15,none,No eligible plan completes INR 50200 by 2025-10-14 while preserving the INR 55200 minimum.
request_79,181.40,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 2151.6 by 2024-11-01 while preserving the EUR 1000 minimum.
request_80,35814.92,not_affordable,not_recommended,none,,none,No eligible plan completes INR 217500 by 2025-02-21 while preserving the INR 121300 minimum.
request_81,2069.69,affordable_with_plan,full_payment,2026-07-03:2076,2026-07-15,stop:event_7569,Use permitted spending changes to complete USD 2076 by 2026-07-03 while preserving the USD 1600 minimum.
request_82,308.88,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,Wait until 2025-02-15 to pay USD 1405.2 in full while preserving the USD 1100 minimum.
request_83,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes INR 156200 by 2025-06-17 while preserving the INR 37800 minimum.
request_84,27550.22,affordable_later,wait,2026-06-15:95400,2026-06-15,none,Wait until 2026-06-15 to pay INR 95400 in full while preserving the INR 91300 minimum.
request_85,374061.81,not_affordable,not_recommended,none,,none,No eligible plan completes IDR 19304000 by 2024-04-26 while preserving the IDR 6396300 minimum.
request_86,43870.22,affordable_with_plan,full_payment,2025-08-03:46300,2025-08-23,reduce_to:event_8084:2360,Use permitted spending changes to complete INR 46300 by 2025-08-03 while preserving the INR 84900 minimum.
request_87,18037.34,not_affordable,not_recommended,none,,none,No eligible plan completes INR 487900 by 2026-03-15 while preserving the INR 185900 minimum.
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,Use 3 payments to complete ZAR 26092 by 2024-08-15 while preserving the ZAR 25800 minimum.
request_89,9226703.57,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,reduce_to:event_8337:266760|reduce_to:event_8403:203300|stop:event_8335,Use 3 payments to complete IDR 13756000 by 2026-01-13 while preserving the IDR 12534700 minimum.
request_90,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 2560 by 2026-09-23 while preserving the ZAR 7600 minimum.
request_91,286.92,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,Wait until 2024-11-15 to pay EUR 1927.2 in full while preserving the EUR 2100 minimum.
request_92,34034.00,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 in full on 2025-02-05; the validated 90-date forecast preserves the ZAR 28100 minimum.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 in full on 2026-04-07; the validated 90-date forecast preserves the USD 1900 minimum.
request_94,203.01,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 572 by 2024-12-22 while preserving the EUR 600 minimum.
request_95,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes INR 553000 by 2025-07-14 while preserving the INR 145500 minimum.
request_96,73002.33,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,Use 3 payments to complete INR 90200 by 2026-03-11 while preserving the INR 56500 minimum.
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,Use 3 payments to complete ZAR 23496 by 2024-05-20 while preserving the ZAR 29700 minimum.
request_98,2643.34,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 27148 by 2025-10-15 while preserving the ZAR 30000 minimum.
request_99,16890.90,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.9,Use permitted spending changes to complete ZAR 18062 by 2026-07-04 while preserving the ZAR 49100 minimum.
request_100,25888.98,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,Use 3 payments to complete ZAR 37114 by 2024-08-14 while preserving the ZAR 32500 minimum.
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 in full on 2025-11-03; the validated 90-date forecast preserves the INR 187400 minimum.
request_102,1401.28,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 1716 by 2026-06-12 while preserving the EUR 900 minimum.
request_103,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes INR 368300 by 2024-10-07 while preserving the INR 125500 minimum.
request_104,17204.00,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 in full on 2025-02-04; the validated 90-date forecast preserves the ZAR 24700 minimum.
request_105,48239.42,not_affordable,not_recommended,none,2026-06-15,none,No eligible plan completes INR 53500 by 2026-06-14 while preserving the INR 73900 minimum.
request_106,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 2207.7 by 2025-02-15 while preserving the EUR 1200 minimum.
request_107,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 2534.4 by 2025-07-04 while preserving the EUR 1600 minimum.
request_108,2317.45,not_affordable,not_recommended,none,2026-09-15,none,No eligible plan completes ZAR 55308 by 2026-07-26 while preserving the ZAR 24100 minimum.
request_109,460.56,not_affordable,not_recommended,none,2024-05-15,none,No eligible plan completes EUR 1863.4 by 2024-05-26 while preserving the EUR 1700 minimum.
request_110,16838.79,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 22352 by 2025-10-11 while preserving the ZAR 11200 minimum.
request_111,16625000.00,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 in full on 2026-04-03; the validated 90-date forecast preserves the IDR 23022800 minimum.
request_112,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 271.7 by 2024-06-14 while preserving the EUR 500 minimum.
request_113,22360.44,affordable_later,wait,2026-09-15:36500,2026-09-15,none,Wait until 2026-09-15 to pay INR 36500 in full while preserving the INR 82300 minimum.
request_114,49353.59,not_affordable,not_recommended,none,2026-02-15,none,No eligible plan completes INR 65300 by 2026-01-14 while preserving the INR 113400 minimum.
request_115,14552.20,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Wait until 2024-11-15 to pay INR 80500 in full while preserving the INR 38800 minimum.
request_116,4650.43,not_affordable,not_recommended,none,,none,No eligible plan completes INR 241200 by 2025-04-16 while preserving the INR 80300 minimum.
request_117,848.69,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10833:11|reduce_to:event_10878:20.5,Use permitted spending changes to complete EUR 880 by 2026-07-05 while preserving the EUR 1000 minimum.
request_118,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 738.1 by 2025-02-08 while preserving the EUR 600 minimum.
request_119,53156.13,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-07-15,reduce_to:event_11016:2655|reduce_to:event_11057:2370,Use 3 payments to complete INR 203500 by 2025-07-13 while preserving the INR 151200 minimum.
